Si index,x,y,z,Fe index,x,y,z,d1 (Å),d2 (Å),Replaced
133,7.1631,14.7876,6.8969,3,7.09576686,2.1885648,5.172675,2.786988,5.587024,Yes
163,19.1016,7.3938,13.7938,9,0.06733314,9.5823648,12.069574999999999,2.786988,5.536432,Yes
174,14.3262,7.3938,3.44845,5,14.39353314,9.5823648,5.172675,2.786988,6.007879,Yes
184,4.7754,7.3938,10.34535,11,4.708066860000001,5.2052352,8.621125,2.786988,5.470709,Yes
96,2.3877,14.7876,3.44845,2,2.32036686,2.1885648,5.172675,2.786988,2.904006,No
97,7.1631,14.7876,3.44845,3,7.09576686,2.1885648,5.172675,2.786988,3.012696,No
99,16.713900000000002,14.7876,3.44845,0,16.78123314,12.5990352,1.724225,2.786988,5.470709,No
100,2.3877,4.9291999950708,3.44845,2,2.32036686,2.1885648,5.172675,3.238606,5.478047,No
101,7.1631,4.9291999950708,3.44845,3,7.09576686,2.1885648,5.172675,3.238606,5.536432,No
102,11.938500000000001,4.9291999950708,3.44845,5,14.39353314,9.5823648,5.172675,5.536432,5.675990,No
103,16.713900000000002,4.9291999950708,3.44845,5,14.39353314,9.5823648,5.172675,5.478047,5.714011,No
104,2.3877,9.8584000049292,3.44845,9,0.06733314,9.5823648,12.069574999999999,5.675990,5.714011,No
105,7.1631,9.8584000049292,3.44845,8,9.618133140000001,9.5823648,12.069574999999999,5.732360,6.007879,No
106,11.938500000000001,9.8584000049292,3.44845,5,14.39353314,9.5823648,5.172675,3.012696,5.675990,No
107,16.713900000000002,9.8584000049292,3.44845,5,14.39353314,9.5823648,5.172675,2.904006,3.238606,No
108,2.3877,14.7876,10.34535,1,2.4550331400000003,2.7406351950707997,8.621125,3.238606,5.617020,No
109,7.1631,14.7876,10.34535,7,9.618133140000001,4.6531648049292,12.069574999999999,5.536432,5.617020,No
110,11.938500000000001,14.7876,10.34535,6,14.39353314,14.5115647950708,12.069574999999999,3.012696,5.478047,No
111,16.713900000000002,14.7876,10.34535,6,14.39353314,14.5115647950708,12.069574999999999,2.904006,3.238606,No
112,2.3877,4.9291999950708,10.34535,1,2.4550331400000003,2.7406351950707997,8.621125,2.786988,2.904006,No
114,11.938500000000001,4.9291999950708,10.34535,7,9.618133140000001,4.6531648049292,12.069574999999999,2.904006,5.478047,No
115,16.713900000000002,4.9291999950708,10.34535,9,0.06733314,9.5823648,12.069574999999999,5.536432,5.587024,No
116,2.3877,9.8584000049292,10.34535,9,0.06733314,9.5823648,12.069574999999999,2.904006,5.478047,No
117,7.1631,9.8584000049292,10.34535,8,9.618133140000001,9.5823648,12.069574999999999,3.012696,5.536432,No
118,11.938500000000001,9.8584000049292,10.34535,8,9.618133140000001,9.5823648,12.069574999999999,2.904006,5.470709,No
119,16.713900000000002,9.8584000049292,10.34535,4,16.64656686,12.0469648049292,12.069574999999999,2.786988,3.012696,No
120,2.3877,14.7876,13.7938,10,4.708066860000001,0.27603520492920003,1.724225,2.904006,5.470709,No
121,7.1631,14.7876,13.7938,10,4.708066860000001,0.27603520492920003,1.724225,3.012696,5.536432,No
122,11.938500000000001,14.7876,13.7938,6,14.39353314,14.5115647950708,12.069574999999999,3.012696,5.478047,No
123,16.713900000000002,14.7876,13.7938,0,16.78123314,12.5990352,1.724225,2.786988,2.904006,No
125,7.1631,4.9291999950708,13.7938,7,9.618133140000001,4.6531648049292,12.069574999999999,3.012696,5.536432,No
126,11.938500000000001,4.9291999950708,13.7938,7,9.618133140000001,4.6531648049292,12.069574999999999,2.904006,5.478047,No
127,16.713900000000002,4.9291999950708,13.7938,9,0.06733314,9.5823648,12.069574999999999,5.536432,5.954119,No
128,2.3877,9.8584000049292,13.7938,9,0.06733314,9.5823648,12.069574999999999,2.904006,5.587024,No
129,7.1631,9.8584000049292,13.7938,8,9.618133140000001,9.5823648,12.069574999999999,3.012696,6.007879,No
130,11.938500000000001,9.8584000049292,13.7938,8,9.618133140000001,9.5823648,12.069574999999999,2.904006,5.470709,No
131,16.713900000000002,9.8584000049292,13.7938,4,16.64656686,12.0469648049292,12.069574999999999,2.786988,3.012696,No
132,2.3877,14.7876,6.8969,2,2.32036686,2.1885648,5.172675,2.786988,3.238606,No
134,11.938500000000001,14.7876,6.8969,3,7.09576686,2.1885648,5.172675,5.587024,5.732360,No
135,16.713900000000002,14.7876,6.8969,2,2.32036686,2.1885648,5.172675,5.470709,5.617020,No
136,2.3877,4.9291999950708,6.8969,1,2.4550331400000003,2.7406351950707997,8.621125,2.786988,2.904006,No
137,7.1631,4.9291999950708,6.8969,11,4.708066860000001,5.2052352,8.621125,3.012696,3.238606,No
138,11.938500000000001,4.9291999950708,6.8969,5,14.39353314,9.5823648,5.172675,5.536432,5.675990,No
139,16.713900000000002,4.9291999950708,6.8969,5,14.39353314,9.5823648,5.172675,5.478047,5.587024,No
140,2.3877,9.8584000049292,6.8969,11,4.708066860000001,5.2052352,8.621125,5.478047,5.675990,No
141,7.1631,9.8584000049292,6.8969,11,4.708066860000001,5.2052352,8.621125,5.536432,5.732360,No
142,11.938500000000001,9.8584000049292,6.8969,5,14.39353314,9.5823648,5.172675,3.012696,5.675990,No
143,16.713900000000002,9.8584000049292,6.8969,5,14.39353314,9.5823648,5.172675,2.904006,5.617020,No
145,9.5508,2.4646000049291996,6.8969,3,7.09576686,2.1885648,5.172675,3.012696,5.617020,No
146,14.3262,2.4646000049291996,6.8969,6,14.39353314,14.5115647950708,12.069574999999999,5.854245,7.307466,No
147,19.1016,2.4646000049291996,6.8969,2,2.32036686,2.1885648,5.172675,2.904006,3.012696,No
148,4.7754,7.3938,6.8969,11,4.708066860000001,5.2052352,8.621125,2.786988,5.478047,No
150,14.3262,7.3938,6.8969,5,14.39353314,9.5823648,5.172675,2.786988,7.328866,No
152,4.7754,12.3229999950708,6.8969,3,7.09576686,2.1885648,5.172675,5.478047,5.536432,No
153,9.5508,12.3229999950708,6.8969,3,7.09576686,2.1885648,5.172675,5.536432,5.825470,No
154,14.3262,12.3229999950708,6.8969,5,14.39353314,9.5823648,5.172675,3.238606,5.617020,No
155,19.1016,12.3229999950708,6.8969,2,2.32036686,2.1885648,5.172675,5.478047,5.675990,No
156,4.7754,2.4646000049291996,13.7938,10,4.708066860000001,0.27603520492920003,1.724225,2.786988,5.587024,No
157,9.5508,2.4646000049291996,13.7938,7,9.618133140000001,4.6531648049292,12.069574999999999,2.786988,5.587024,No
158,14.3262,2.4646000049291996,13.7938,6,14.39353314,14.5115647950708,12.069574999999999,3.238606,5.470709,No
159,19.1016,2.4646000049291996,13.7938,10,4.708066860000001,0.27603520492920003,1.724225,5.470709,5.478047,No
160,4.7754,7.3938,13.7938,9,0.06733314,9.5823648,12.069574999999999,5.470709,5.587024,No
161,9.5508,7.3938,13.7938,8,9.618133140000001,9.5823648,12.069574999999999,2.786988,3.238606,No
162,14.3262,7.3938,13.7938,8,9.618133140000001,9.5823648,12.069574999999999,5.470709,5.478047,No
164,4.7754,12.3229999950708,13.7938,10,4.708066860000001,0.27603520492920003,1.724225,3.238606,5.714011,No
165,9.5508,12.3229999950708,13.7938,8,9.618133140000001,9.5823648,12.069574999999999,3.238606,5.587024,No
166,14.3262,12.3229999950708,13.7938,6,14.39353314,14.5115647950708,12.069574999999999,2.786988,2.904006,No
167,19.1016,12.3229999950708,13.7938,0,16.78123314,12.5990352,1.724225,2.904006,3.012696,No
168,4.7754,2.4646000049291996,3.44845,10,4.708066860000001,0.27603520492920003,1.724225,2.786988,2.904006,No
169,9.5508,2.4646000049291996,3.44845,3,7.09576686,2.1885648,5.172675,3.012696,5.587024,No
170,14.3262,2.4646000049291996,3.44845,0,16.78123314,12.5990352,1.724225,5.536432,5.854245,No
171,19.1016,2.4646000049291996,3.44845,2,2.32036686,2.1885648,5.172675,2.904006,5.470709,No
172,4.7754,7.3938,3.44845,11,4.708066860000001,5.2052352,8.621125,5.617020,5.954119,No
173,9.5508,7.3938,3.44845,5,14.39353314,9.5823648,5.172675,5.587024,5.617020,No
175,19.1016,7.3938,3.44845,5,14.39353314,9.5823648,5.172675,5.470709,5.617020,No
176,4.7754,12.3229999950708,3.44845,10,4.708066860000001,0.27603520492920003,1.724225,3.238606,5.478047,No
177,9.5508,12.3229999950708,3.44845,3,7.09576686,2.1885648,5.172675,5.536432,5.825470,No
178,14.3262,12.3229999950708,3.44845,0,16.78123314,12.5990352,1.724225,3.012696,3.238606,No
179,19.1016,12.3229999950708,3.44845,0,16.78123314,12.5990352,1.724225,2.904006,5.478047,No
180,4.7754,2.4646000049291996,10.34535,1,2.4550331400000003,2.7406351950707997,8.621125,2.904006,3.238606,No
181,9.5508,2.4646000049291996,10.34535,7,9.618133140000001,4.6531648049292,12.069574999999999,2.786988,5.732360,No
182,14.3262,2.4646000049291996,10.34535,6,14.39353314,14.5115647950708,12.069574999999999,3.238606,5.470709,No
183,19.1016,2.4646000049291996,10.34535,1,2.4550331400000003,2.7406351950707997,8.621125,3.012696,5.675990,No
185,9.5508,7.3938,10.34535,8,9.618133140000001,9.5823648,12.069574999999999,2.786988,3.238606,No
186,14.3262,7.3938,10.34535,8,9.618133140000001,9.5823648,12.069574999999999,5.470709,5.478047,No
187,19.1016,7.3938,10.34535,9,0.06733314,9.5823648,12.069574999999999,2.786988,5.470709,No
188,4.7754,12.3229999950708,10.34535,9,0.06733314,9.5823648,12.069574999999999,5.714011,5.825470,No
189,9.5508,12.3229999950708,10.34535,8,9.618133140000001,9.5823648,12.069574999999999,3.238606,5.587024,No
190,14.3262,12.3229999950708,10.34535,6,14.39353314,14.5115647950708,12.069574999999999,2.786988,2.904006,No
191,19.1016,12.3229999950708,10.34535,4,16.64656686,12.0469648049292,12.069574999999999,3.012696,3.238606,No
